,Date,Predicted
727,2015-05-26,1
728,2015-05-27,1
729,2015-05-28,0
730,2015-05-29,1
731,2015-05-30,1
732,2015-05-31,0
733,2015-05-31,1
734,2015-06-07,0
735,2015-06-08,0
736,2015-06-10,1
737,2015-06-11,0
738,2015-06-12,0
739,2015-06-13,0
740,2015-06-14,0
741,2015-06-14,0
742,2015-06-14,0
743,2015-06-15,1
744,2015-06-16,1
745,2015-06-17,0
746,2015-06-18,1
747,2015-06-19,1
748,2015-06-20,0
749,2015-06-21,1
750,2015-06-21,0
751,2015-07-04,0
752,2015-07-05,1
753,2015-07-06,0
754,2015-07-07,0
755,2015-07-08,1
756,2015-07-09,0
757,2015-07-10,0
758,2015-07-11,0
759,2015-07-14,0
760,2015-07-15,0
761,2015-07-16,0
762,2015-07-17,1
763,2015-07-18,0
764,2015-07-19,1
765,2015-07-20,0
766,2015-07-22,0
767,2015-07-23,0
768,2015-07-24,0
769,2015-07-25,0
770,2015-07-26,1
771,2015-07-26,0
772,2015-08-01,0
773,2015-08-02,0
774,2015-08-03,0
775,2015-08-04,0
776,2015-08-05,0
777,2015-08-06,0
778,2015-08-07,0
779,2015-08-08,0
780,2015-08-08,0
781,2015-08-10,0
782,2015-08-11,1
783,2015-08-12,0
784,2015-08-13,0
785,2015-08-14,0
786,2015-08-15,0
787,2015-08-16,0
788,2015-08-16,0
789,2015-08-23,0
790,2015-08-23,0
791,2015-08-24,1
792,2015-08-25,1
793,2015-08-26,0
794,2015-08-27,0
795,2015-08-28,0
796,2015-08-29,0
797,2015-08-30,0
798,2015-08-31,0
799,2015-09-02,0
800,2015-09-03,0
801,2015-09-04,0
802,2015-09-05,0
803,2015-09-06,0
804,2015-09-07,0
805,2015-09-09,0
806,2015-09-10,0
807,2015-09-11,0
808,2015-09-12,0
809,2015-09-13,1
810,2015-09-13,1
811,2015-08-30,1
812,2015-09-11,0
813,2015-09-13,0
814,2015-10-04,0
815,2016-01-19,1
816,2016-01-20,0
817,2016-01-21,0
818,2016-01-22,1
819,2016-01-23,1
820,2016-01-24,1
821,2016-01-24,1
822,2016-03-07,1
823,2016-03-08,1
824,2016-03-09,0
825,2016-03-10,1
826,2016-03-11,0
827,2016-03-12,0
828,2016-03-13,0
829,2016-03-13,0
830,2016-03-10,2
831,2016-03-11,0
832,2016-03-12,0
833,2016-03-14,0
834,2016-03-15,0
835,2016-03-15,0
836,2016-03-19,1
837,2016-03-21,1
838,2016-03-22,1
839,2016-03-23,0
840,2016-03-24,0
841,2016-03-25,0
842,2016-03-26,0
843,2016-03-27,1
844,2016-03-27,0
845,2016-03-25,1
846,2016-03-27,1
847,2016-04-03,1
848,2016-04-04,0
849,2016-04-05,0
850,2016-04-06,1
851,2016-04-07,0
852,2016-04-08,0
853,2016-04-09,1
854,2016-04-09,1
855,2016-04-10,0
856,2016-04-17,0
857,2016-04-20,1
858,2016-04-24,1
859,2016-04-27,0
860,2016-04-28,0
861,2016-04-29,1
862,2016-04-30,0
863,2016-05-01,1
864,2016-05-01,0
865,2016-05-06,1
866,2016-05-07,1
867,2016-05-08,1
868,2016-05-10,0
869,2016-05-11,0
870,2016-05-12,0
871,2016-05-13,1
872,2016-05-14,0
873,2016-05-15,0
874,2016-05-17,0
875,2016-05-18,1
876,2016-05-19,1
877,2016-05-20,0
878,2016-05-21,0
879,2016-05-22,0
880,2016-05-24,0
881,2016-05-25,0
882,2016-05-26,0
883,2016-05-27,0
884,2016-05-28,0
885,2016-05-29,0
886,2016-05-29,0
887,2016-06-06,1
888,2016-06-07,0
889,2016-06-08,0
890,2016-06-09,0
891,2016-06-10,0
892,2016-06-11,0
893,2016-06-12,1
894,2016-06-12,0
895,2016-06-11,1
896,2016-06-12,1
897,2016-06-13,1
898,2016-06-14,0
899,2016-06-15,1
900,2016-06-16,0
901,2016-06-17,0
902,2016-06-18,0
903,2016-06-19,0
904,2016-06-19,0
905,2016-07-02,0
906,2016-07-03,1
907,2016-07-04,0
908,2016-07-05,1
909,2016-07-06,0
910,2016-07-07,0
911,2016-07-08,0
912,2016-07-09,0
913,2016-07-10,0
914,2016-07-12,0
915,2016-07-13,1
916,2016-07-14,0
917,2016-07-15,0
918,2016-07-16,0
919,2016-07-17,0
920,2016-07-18,1
921,2016-07-20,0
922,2016-07-21,0
923,2016-07-22,0
924,2016-07-23,0
925,2016-07-24,1
926,2016-07-24,0
927,2016-07-12,0
928,2016-07-13,0
929,2016-07-14,0
930,2016-07-15,1
931,2016-07-16,0
932,2016-07-18,0
933,2016-07-18,0
934,2016-07-30,1
935,2016-08-21,0
936,2016-08-22,0
937,2016-08-23,0
938,2016-08-24,1
939,2016-08-25,0
940,2016-08-26,0
941,2016-08-27,0
942,2016-08-28,0
943,2016-08-29,0
944,2016-08-31,0
945,2016-09-01,0
946,2016-09-02,0
947,2016-09-03,0
948,2016-09-04,0
949,2016-09-05,0
950,2016-09-07,0
951,2016-09-08,0
952,2016-09-09,0
953,2016-09-10,0
954,2016-09-11,0
955,2016-09-11,0
956,2016-08-21,0
957,2016-08-28,0
958,2016-09-09,1
959,2016-09-11,1
960,2016-09-19,0
961,2016-09-20,0
962,2016-09-21,1
963,2016-09-22,1
964,2016-09-24,0
965,2016-09-25,0
966,2016-09-25,0
967,2016-10-01,0
968,2017-01-17,1
969,2017-01-18,1
970,2017-01-19,1
971,2017-01-20,1
972,2017-01-21,1
973,2017-01-22,1
974,2017-01-22,1
975,2017-01-29,1
976,2017-02-23,1
977,2017-02-24,0
978,2017-02-25,0
979,2017-02-26,0
980,2017-02-26,1
981,2017-02-25,1
982,2017-03-04,1
983,2017-03-05,1
984,2017-03-06,1
985,2017-03-07,1
986,2017-03-08,1
987,2017-03-09,1
988,2017-03-10,0
989,2017-03-11,1
990,2017-03-12,0
991,2017-03-12,0
992,2017-03-09,0
993,2017-03-10,0
994,2017-03-11,0
995,2017-03-12,0
996,2017-03-13,0
997,2017-03-14,1
998,2017-03-14,0
999,2017-03-18,1
1000,2017-03-20,0
1001,2017-03-22,0
1002,2017-03-23,1
1003,2017-03-24,0
1004,2017-03-25,0
1005,2017-03-26,0
1006,2017-03-26,0
1007,2017-03-22,1
1008,2017-03-24,1
1009,2017-03-26,1
1010,2017-04-02,1
1011,2017-04-03,1
1012,2017-04-04,0
1013,2017-04-05,0
1014,2017-04-06,0
1015,2017-04-07,0
1016,2017-04-08,0
1017,2017-04-08,1
1018,2017-04-09,1
1019,2017-04-16,1
1020,2017-04-19,1
1021,2017-04-23,1
1022,2017-04-26,1
1023,2017-04-27,0
1024,2017-04-28,1
1025,2017-04-29,0
1026,2017-04-30,1
1027,2017-04-30,1
1028,2017-05-01,1
1029,2017-05-05,1
1030,2017-05-06,1
1031,2017-05-07,1
1032,2017-05-09,0
1033,2017-05-10,1
1034,2017-05-11,0
1035,2017-05-12,1
1036,2017-05-13,0
1037,2017-05-14,0
1038,2017-05-16,0
1039,2017-05-17,0
1040,2017-05-18,1
1041,2017-05-19,1
1042,2017-05-20,1
1043,2017-05-21,0
1044,2017-05-23,0
1045,2017-05-24,0
1046,2017-05-25,0
1047,2017-05-26,0
1048,2017-05-27,0
1049,2017-05-28,0
1050,2017-05-28,0
1051,2017-05-14,1
1052,2017-05-15,0
1053,2017-05-16,1
1054,2017-05-17,0
1055,2017-05-18,0
1056,2017-05-19,0
1057,2017-05-20,0
1058,2017-05-20,0
1059,2017-06-04,0
1060,2017-06-05,0
1061,2017-06-06,0
1062,2017-06-07,1
1063,2017-06-08,0
1064,2017-06-09,0
1065,2017-06-10,0
1066,2017-06-11,0
1067,2017-06-11,0
1068,2017-06-10,1
1069,2017-06-11,0
1070,2017-06-12,1
1071,2017-06-13,0
1072,2017-06-14,1
1073,2017-06-15,0
1074,2017-06-16,0
1075,2017-06-17,1
1076,2017-06-18,0
1077,2017-06-18,1
1078,2017-07-01,0
1079,2017-07-02,0
1080,2017-07-03,1
1081,2017-07-04,1
1082,2017-07-05,0
1083,2017-07-06,1
1084,2017-07-07,1
1085,2017-07-08,0
1086,2017-07-09,0
1087,2017-07-11,1
1088,2017-07-12,1
1089,2017-07-13,0
1090,2017-07-14,0
1091,2017-07-15,1
1092,2017-07-16,0
1093,2017-07-18,1
1094,2017-07-19,0
1095,2017-07-20,0
1096,2017-07-21,1
1097,2017-07-22,0
1098,2017-07-23,0
1099,2017-07-23,0
1100,2017-07-29,1
1101,2017-07-29,1
1102,2017-07-30,0
1103,2017-07-31,0
1104,2017-08-01,1
1105,2017-08-02,1
1106,2017-08-03,0
1107,2017-08-04,0
1108,2017-08-04,0
1109,2017-07-30,1
1110,2017-08-07,1
1111,2017-08-08,0
1112,2017-08-09,1
1113,2017-08-10,0
1114,2017-08-11,0
1115,2017-08-12,0
1116,2017-08-13,0
1117,2017-08-13,0
1118,2017-08-20,0
1119,2017-08-21,0
1120,2017-08-22,1
1121,2017-08-23,0
1122,2017-08-24,0
1123,2017-08-25,0
1124,2017-08-26,0
1125,2017-08-27,0
1126,2017-08-29,1
1127,2017-08-30,0
1128,2017-08-31,0
1129,2017-09-01,1
1130,2017-09-02,0
1131,2017-09-03,0
1132,2017-09-05,1
1133,2017-09-06,0
1134,2017-09-07,0
1135,2017-09-08,0
1136,2017-09-09,0
1137,2017-09-10,1
1138,2017-09-10,1
1139,2017-08-20,0
1140,2017-08-27,0
1141,2017-09-08,1
1142,2017-09-10,0
1143,2017-10-07,0
1144,2017-10-10,1
1145,2017-10-11,1
1146,2017-10-12,1
1147,2017-10-13,1
1148,2017-10-14,1
1149,2017-10-15,1
1150,2017-10-15,1
1151,2017-10-19,1
1152,2017-10-20,1
1153,2017-10-21,1
1154,2017-10-22,0
1155,2017-10-23,1
1156,2017-10-24,1
1157,2017-10-24,0
1158,2018-01-16,1
1159,2018-01-17,1
1160,2018-01-18,1
1161,2018-01-19,1
1162,2018-01-20,0
1163,2018-01-21,1
1164,2018-01-21,0
1165,2018-01-28,1
1166,2018-02-21,0
1167,2018-02-22,1
1168,2018-02-23,0
1169,2018-02-24,0
1170,2018-02-25,0
1171,2018-02-25,0
1172,2018-02-24,1
1173,2018-03-03,1
1174,2018-03-04,0
1175,2018-03-05,0
1176,2018-03-06,0
1177,2018-03-07,0
1178,2018-03-08,0
1179,2018-03-09,0
1180,2018-03-10,0
1181,2018-03-11,0
1182,2018-03-11,0
1183,2018-03-08,1
1184,2018-03-09,0
1185,2018-03-10,0
1186,2018-03-11,1
1187,2018-03-12,1
1188,2018-03-13,0
1189,2018-03-13,1
1190,2018-03-17,1
1191,2018-03-19,1
1192,2018-03-20,0
1193,2018-03-21,0
1194,2018-03-22,0
1195,2018-03-23,0
1196,2018-03-24,1
1197,2018-03-25,0
1198,2018-03-25,0
1199,2018-03-23,0
1200,2018-03-25,1
1201,2018-03-28,0
1202,2018-04-01,1
1203,2018-04-02,0
1204,2018-04-03,0
1205,2018-04-04,0
1206,2018-04-05,0
1207,2018-04-06,0
1208,2018-04-07,0
1209,2018-04-07,0
1210,2018-04-08,1
1211,2018-04-15,1
1212,2018-04-18,0
1213,2018-04-22,0
1214,2018-04-25,0
1215,2018-04-26,0
1216,2018-04-27,0
1217,2018-04-28,0
1218,2018-04-29,0
1219,2018-04-29,1
1220,2018-05-01,1
1221,2018-05-04,1
1222,2018-05-05,1
1223,2018-05-06,1
1224,2018-05-08,0
1225,2018-05-09,0
1226,2018-05-10,0
1227,2018-05-11,1
1228,2018-05-12,0
1229,2018-05-13,0
1230,2018-05-15,0
1231,2018-05-16,0
1232,2018-05-17,1
1233,2018-05-18,1
1234,2018-05-19,0
1235,2018-05-20,0
1236,2018-05-22,1
1237,2018-05-23,1
1238,2018-05-24,0
1239,2018-05-25,0
1240,2018-05-26,0
1241,2018-05-27,1
1242,2018-05-27,0
1243,2018-05-13,0
1244,2018-05-14,0
1245,2018-05-15,0
