,Date,Predicted
589,2014-06-20,0
590,2014-06-21,0
591,2014-06-22,0
592,2014-06-22,0
593,2014-07-05,0
594,2014-07-06,0
595,2014-07-07,0
596,2014-07-08,1
597,2014-07-09,0
598,2014-07-10,0
599,2014-07-11,0
600,2014-07-12,0
601,2014-07-13,0
602,2014-07-14,0
603,2014-07-16,0
604,2014-07-17,0
605,2014-07-18,0
606,2014-07-19,0
607,2014-07-20,0
608,2014-07-22,0
609,2014-07-23,0
610,2014-07-24,0
611,2014-07-25,0
612,2014-07-26,0
613,2014-07-27,0
614,2014-07-27,0
615,2014-08-02,1
616,2014-08-03,0
617,2014-08-04,0
618,2014-08-05,0
619,2014-08-06,0
620,2014-08-07,0
621,2014-08-08,1
622,2014-08-09,0
623,2014-08-09,1
624,2014-08-11,0
625,2014-08-12,0
626,2014-08-13,0
627,2014-08-14,1
628,2014-08-15,0
629,2014-08-16,0
630,2014-08-17,0
631,2014-08-17,0
632,2014-08-24,0
633,2014-08-25,0
634,2014-08-26,0
635,2014-08-27,0
636,2014-08-28,0
637,2014-08-29,0
638,2014-08-30,0
639,2014-08-31,0
640,2014-09-02,0
641,2014-09-03,0
642,2014-09-04,0
643,2014-09-05,0
644,2014-09-06,0
645,2014-09-07,0
646,2014-09-08,0
647,2014-09-10,1
648,2014-09-11,0
649,2014-09-12,0
650,2014-09-13,0
651,2014-09-14,0
652,2014-09-14,0
653,2014-08-24,1
654,2014-08-31,0
655,2014-09-12,1
656,2014-09-14,1
657,2014-10-05,0
658,2014-10-10,1
659,2014-10-11,0
660,2014-10-12,0
661,2014-10-13,0
662,2014-10-14,0
663,2014-10-14,0
664,2015-01-20,1
665,2015-01-21,0
666,2015-01-22,1
667,2015-01-23,1
668,2015-01-24,0
669,2015-01-25,1
670,2015-01-25,0
671,2015-03-09,0
672,2015-03-10,0
673,2015-03-11,0
674,2015-03-12,1
675,2015-03-13,0
676,2015-03-14,0
677,2015-03-15,1
678,2015-03-15,1
679,2015-03-12,1
680,2015-03-13,0
681,2015-03-14,0
682,2015-03-15,0
683,2015-03-16,1
684,2015-03-17,0
685,2015-03-17,0
686,2015-03-22,1
687,2015-03-23,0
688,2015-03-24,0
689,2015-03-25,0
690,2015-03-26,0
691,2015-03-27,0
692,2015-03-28,0
693,2015-03-29,1
694,2015-03-29,0
695,2015-03-27,0
696,2015-03-29,0
697,2015-04-05,1
698,2015-04-06,1
699,2015-04-07,0
700,2015-04-08,0
701,2015-04-09,0
702,2015-04-10,0
703,2015-04-11,0
704,2015-04-11,0
705,2015-04-12,0
706,2015-04-19,0
707,2015-04-22,1
708,2015-04-26,1
709,2015-04-29,0
710,2015-04-30,1
711,2015-05-01,0
712,2015-05-02,0
713,2015-05-03,0
714,2015-05-03,0
715,2015-05-10,0
716,2015-05-11,0
717,2015-05-12,0
718,2015-05-13,0
719,2015-05-14,0
720,2015-05-15,0
721,2015-05-16,0
722,2015-05-17,0
723,2015-05-19,0
724,2015-05-20,0
725,2015-05-21,0
726,2015-05-22,0
727,2015-05-23,0
728,2015-05-24,0
729,2015-05-26,0
730,2015-05-27,0
731,2015-05-28,0
732,2015-05-29,0
733,2015-05-30,1
734,2015-05-31,0
735,2015-05-31,0
736,2015-06-07,0
737,2015-06-08,0
738,2015-06-10,1
739,2015-06-11,0
740,2015-06-12,0
741,2015-06-13,0
742,2015-06-14,0
743,2015-06-14,0
744,2015-06-14,0
745,2015-06-15,0
746,2015-06-16,1
747,2015-06-17,0
748,2015-06-18,1
749,2015-06-19,0
750,2015-06-20,0
751,2015-06-21,0
752,2015-06-21,0
753,2015-07-04,0
754,2015-07-05,0
755,2015-07-06,0
756,2015-07-07,0
757,2015-07-08,0
758,2015-07-09,0
759,2015-07-10,0
760,2015-07-11,0
761,2015-07-14,0
762,2015-07-15,0
763,2015-07-16,0
764,2015-07-17,0
765,2015-07-18,0
766,2015-07-19,0
767,2015-07-20,0
768,2015-07-22,0
769,2015-07-23,0
770,2015-07-24,0
771,2015-07-25,0
772,2015-07-26,0
773,2015-07-26,0
774,2015-08-01,0
775,2015-08-02,0
776,2015-08-03,0
777,2015-08-04,0
778,2015-08-05,0
779,2015-08-06,0
780,2015-08-07,0
781,2015-08-08,0
782,2015-08-08,0
783,2015-08-10,0
784,2015-08-11,1
785,2015-08-12,0
786,2015-08-13,0
787,2015-08-14,0
788,2015-08-15,0
789,2015-08-16,0
790,2015-08-16,0
791,2015-08-23,0
792,2015-08-23,0
793,2015-08-24,1
794,2015-08-25,0
795,2015-08-26,0
796,2015-08-27,0
797,2015-08-28,0
798,2015-08-29,0
799,2015-08-30,0
800,2015-08-31,0
801,2015-09-02,0
802,2015-09-03,0
803,2015-09-04,0
804,2015-09-05,0
805,2015-09-06,0
806,2015-09-07,0
807,2015-09-09,0
808,2015-09-10,0
809,2015-09-11,0
810,2015-09-12,0
811,2015-09-13,0
812,2015-09-13,1
813,2015-08-30,1
814,2015-09-11,0
815,2015-09-13,0
816,2015-10-04,0
817,2016-01-19,1
818,2016-01-20,0
819,2016-01-21,0
820,2016-01-22,0
821,2016-01-23,0
822,2016-01-24,1
823,2016-01-24,1
824,2016-03-07,0
825,2016-03-08,0
826,2016-03-09,0
827,2016-03-10,1
828,2016-03-11,0
829,2016-03-12,0
830,2016-03-13,0
831,2016-03-13,0
832,2016-03-10,0
833,2016-03-11,0
834,2016-03-12,0
835,2016-03-14,0
836,2016-03-15,0
837,2016-03-15,0
838,2016-03-19,1
839,2016-03-21,1
840,2016-03-22,1
841,2016-03-23,0
842,2016-03-24,0
843,2016-03-25,0
844,2016-03-26,0
845,2016-03-27,0
846,2016-03-27,0
847,2016-03-25,0
848,2016-03-27,1
849,2016-04-03,1
850,2016-04-04,0
851,2016-04-05,0
852,2016-04-06,0
853,2016-04-07,0
854,2016-04-08,0
855,2016-04-09,1
856,2016-04-09,1
857,2016-04-10,0
858,2016-04-17,0
859,2016-04-20,0
860,2016-04-24,1
861,2016-04-27,0
862,2016-04-28,0
863,2016-04-29,0
864,2016-04-30,0
865,2016-05-01,0
866,2016-05-01,0
867,2016-05-06,0
868,2016-05-07,0
869,2016-05-08,1
870,2016-05-10,0
871,2016-05-11,0
872,2016-05-12,0
873,2016-05-13,0
874,2016-05-14,0
875,2016-05-15,0
876,2016-05-17,0
877,2016-05-18,0
878,2016-05-19,1
879,2016-05-20,0
880,2016-05-21,0
881,2016-05-22,0
882,2016-05-24,0
883,2016-05-25,0
884,2016-05-26,0
885,2016-05-27,0
886,2016-05-28,0
887,2016-05-29,0
888,2016-05-29,0
889,2016-06-06,1
890,2016-06-07,0
891,2016-06-08,0
892,2016-06-09,0
893,2016-06-10,0
894,2016-06-11,0
895,2016-06-12,1
896,2016-06-12,0
897,2016-06-11,1
898,2016-06-12,0
899,2016-06-13,1
900,2016-06-14,0
901,2016-06-15,0
902,2016-06-16,0
903,2016-06-17,0
904,2016-06-18,0
905,2016-06-19,0
906,2016-06-19,0
907,2016-07-02,0
908,2016-07-03,1
909,2016-07-04,0
910,2016-07-05,0
