,Unnamed: 0,Rnk,Rider,Team,Age,Pnt,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking,Year,Month,Day,old_elo,new_elo,old_rd,new_rd,Date1
86421,86438.0,44,413.0,41,25.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
83775,83792.0,133,392.0,19,33.0,8.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1191.7818484038303,350.0,226.60561705996648,2017-01-22
37877,37881.0,46,170.0,103,21.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1079.702520550678,350.0,226.60561705996648,2017-01-22
38107,38111.0,7,171.0,7,22.0,28.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1584.0594958898646,350.0,226.60561705996648,2017-01-22
38309,38313.0,70,172.0,1,30.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
79861,79878.0,26,365.0,58,23.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
38711,38715.0,4,173.0,105,26.0,110.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,2256.53546300878,350.0,226.60561705996648,2017-01-22
78523,78540.0,16,354.0,95,23.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
35996,36000.0,14,162.0,32,24.0,160.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,2424.654454788509,350.0,226.60561705996648,2017-01-22
179584,179627.0,73,1057.0,7,28.0,14.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1303.861176256983,350.0,226.60561705996648,2017-01-22
46935,46939.0,32,213.0,103,25.0,80.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,2088.4164712290512,350.0,226.60561705996648,2017-01-22
9552,9552.0,118,51.0,32,26.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
196218,196271.0,89,1175.0,32,24.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,911.5835287709491,350.0,226.60561705996648,2017-01-22
189554,189599.0,23,1122.0,75,31.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
204054,204107.0,68,1267.0,46,22.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
204915,204968.0,67,1271.0,41,39.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,855.5438648443727,350.0,226.60561705996648,2017-01-22
210156,210209.0,171,1304.0,95,26.0,16.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1359.9008401835592,350.0,226.60561705996648,2017-01-22
200842,200895.0,91,1237.0,75,39.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
1453,1453.0,105,5.0,10,20.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
201180,201233.0,22,1239.0,19,31.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
