,Unnamed: 0,Rnk,Rider,Team,Age,Pnt,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking,Year,Month,Day,old_elo,new_elo,old_rd,new_rd,old_team_elo,new_team_elo,old_team_rd,new_team_rd,Date1
154427,154451.0,42,824.0,7,28.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1500.0,350.0,350.0,1500.0,821.0496203499914,350.0,267.3822067751187,2016-01-24
151226,151250.0,32,791.0,84,29.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1500.0,350.0,350.0,1500.0,1619.8147728794133,350.0,267.3822067751187,2016-01-24
150377,150401.0,149,781.0,84,25.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1500.0,350.0,350.0,1500.0,1619.8147728794133,350.0,267.3822067751187,2016-01-24
17980,17984.0,8,80.0,58,28.0,160.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,2449.219960007503,350.0,223.2269653039427,1500.0,2099.0738643970662,350.0,267.3822067751187,2016-01-24
16407,16411.0,68,75.0,1,26.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1500.0,350.0,350.0,1500.0,1859.44431863824,350.0,267.3822067751187,2016-01-24
103637,103655.0,113,505.0,56,23.0,8.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1500.0,350.0,350.0,1500.0,1060.6791661088178,350.0,267.3822067751187,2016-01-24
103338,103356.0,97,504.0,68,22.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1500.0,350.0,350.0,1500.0,1939.3208338911822,350.0,267.3822067751187,2016-01-24
102525,102543.0,151,501.0,26,24.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1500.0,350.0,350.0,1500.0,2258.8268949029507,350.0,267.3822067751187,2016-01-24
66782,66792.0,70,297.0,101,26.0,60.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,2015.2908354326441,350.0,223.2269653039427,1500.0,1539.938257626471,350.0,267.3822067751187,2016-01-24
66102,66112.0,73,296.0,52,29.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1500.0,350.0,350.0,1500.0,1699.6912881323556,350.0,267.3822067751187,2016-01-24
31865,31869.0,9,141.0,84,28.0,12.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1364.3971485703569,350.0,223.2269653039427,1500.0,1619.8147728794133,350.0,267.3822067751187,2016-01-24
61545,61555.0,95,277.0,46,26.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1500.0,350.0,350.0,1500.0,1140.55568136176,350.0,267.3822067751187,2016-01-24
57449,57453.0,4,259.0,105,30.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1500.0,350.0,350.0,1500.0,2178.9503796500085,350.0,267.3822067751187,2016-01-24
56442,56446.0,12,255.0,68,29.0,20.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1500.0,350.0,350.0,1500.0,1939.3208338911822,350.0,267.3822067751187,2016-01-24
53837,53841.0,85,242.0,42,26.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1500.0,350.0,350.0,1500.0,1460.061742373529,350.0,267.3822067751187,2016-01-24
68808,68818.0,75,303.0,6,29.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1500.0,350.0,350.0,1500.0,980.8026508558758,350.0,267.3822067751187,2016-01-24
32854,32858.0,11,145.0,41,32.0,40.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1798.326273145215,350.0,223.2269653039427,1500.0,1300.3087118676444,350.0,267.3822067751187,2016-01-24
33441,33445.0,61,147.0,52,27.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1500.0,350.0,350.0,1500.0,1699.6912881323556,350.0,267.3822067751187,2016-01-24
44785,44789.0,12,206.0,74,33.0,100.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,2232.2553977200732,350.0,223.2269653039427,1500.0,1779.5678033852978,350.0,267.3822067751187,2016-01-24
43039,43043.0,117,199.0,58,28.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1500.0,350.0,350.0,1500.0,2099.0738643970662,350.0,267.3822067751187,2016-01-24
41002,41006.0,14,186.0,56,27.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1500.0,350.0,350.0,1500.0,1060.6791661088178,350.0,267.3822067751187,2016-01-24
39025,39029.0,40,174.0,101,23.0,36.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1744.085132573358,350.0,223.2269653039427,1500.0,1539.938257626471,350.0,267.3822067751187,2016-01-24
38672,38676.0,2,173.0,105,25.0,14.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1418.638289142214,350.0,223.2269653039427,1500.0,2178.9503796500085,350.0,267.3822067751187,2016-01-24
37869,37873.0,54,170.0,10,20.0,45.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1852.5674137170722,350.0,223.2269653039427,1500.0,1380.1852271205867,350.0,267.3822067751187,2016-01-24
48064,48068.0,109,219.0,52,34.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1500.0,350.0,350.0,1500.0,1699.6912881323556,350.0,267.3822067751187,2016-01-24
69796,69806.0,89,305.0,118,28.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1500.0,350.0,350.0,1500.0,2019.1973491441245,350.0,267.3822067751187,2016-01-24
71322,71332.0,181,313.0,118,31.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1500.0,350.0,350.0,1500.0,2019.1973491441245,350.0,267.3822067751187,2016-01-24
72659,72669.0,15,323.0,41,27.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1500.0,350.0,350.0,1500.0,1300.3087118676444,350.0,267.3822067751187,2016-01-24
26784,26788.0,85,122.0,118,23.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1500.0,350.0,350.0,1500.0,2019.1973491441245,350.0,267.3822067751187,2016-01-24
93028,93046.0,154,450.0,6,31.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1500.0,350.0,350.0,1500.0,980.8026508558758,350.0,267.3822067751187,2016-01-24
92137,92155.0,162,447.0,89,29.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1500.0,350.0,350.0,1500.0,741.1731050970493,350.0,267.3822067751187,2016-01-24
89406,89423.0,89,433.0,56,24.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1500.0,350.0,350.0,1500.0,1060.6791661088178,350.0,267.3822067751187,2016-01-24
