42,43,44,,,0,TAARAMÄE Rein,23.0,"Cofidis, le Crédit en Ligne",,,",,0:00",Paris - Nice,1.0,06 March 2011,37.821 km/h,0,154.5 km,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,44,45,,,0,PATERSKI Maciej,24.0,Liquigas - Cannondale,,,",,0:00",Paris - Nice,1.0,06 March 2011,37.821 km/h,0,154.5 km,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,45,46,,,0,CAPECCHI Eros,24.0,Liquigas - Cannondale,,,",,0:00",Paris - Nice,1.0,06 March 2011,37.821 km/h,0,154.5 km,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,46,47,,,0,GUSEV Vladimir,28.0,Team Katusha,,,",,0:00",Paris - Nice,1.0,06 March 2011,37.821 km/h,0,154.5 km,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,47,48,,,0,ROCHE Nicolas,26.0,AG2R La Mondiale,,,",,0:00",Paris - Nice,1.0,06 March 2011,37.821 km/h,0,154.5 km,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,48,49,,,0,VAN DEN BROECK Jurgen,28.0,Omega Pharma-Lotto,,,",,0:00",Paris - Nice,1.0,06 March 2011,37.821 km/h,0,154.5 km,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,49,50,,,0,HARDY Romain,22.0,Bretagne Schuller,,,",,0:00",Paris - Nice,1.0,06 March 2011,37.821 km/h,0,154.5 km,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,50,51,,,0,CARRARA Matteo,31.0,Vacansoleil - DCM,,,",,0:00",Paris - Nice,1.0,06 March 2011,37.821 km/h,0,154.5 km,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,51,52,,,0,LAGUTIN Sergey,30.0,Vacansoleil - DCM,,,",,0:00",Paris - Nice,1.0,06 March 2011,37.821 km/h,0,154.5 km,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,52,53,,,0,DI GRÉGORIO Rémy,25.0,Pro Team Astana,,,",,0:00",Paris - Nice,1.0,06 March 2011,37.821 km/h,0,154.5 km,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
