,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Avg,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
54,55,89.0,+41:55,42,BETTIOL Alberto,24,BMC Racing Team,,,0:540:54,49.698,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
55,56,5.0,+1:10,91,YATES Adam,25,Mitchelton-Scott,,,",,0:54",49.698,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
56,57,81.0,+37:19,176,PUCCIO Salvatore,28,Team Sky,,,0:550:55,49.63,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
57,58,9.0,+1:16,161,BENNETT George,27,Team LottoNL-Jumbo,,,",,0:55",49.63,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
58,59,61.0,+28:13,52,DUCHESNE Antoine,26,Groupama - FDJ,,,",,0:55",49.63,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
59,60,25.0,+8:35,122,GILBERT Philippe,35,Quick-Step Floors,,,0:560:56,49.562,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
60,61,63.0,+28:26,103,ARCAS Jorge,25,Movistar Team,,,0:570:57,49.494,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
61,62,7.0,+1:15,4,FORMOLO Davide,25,BORA - hansgrohe,,,0:580:58,49.426,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
62,63,40.0,+18:16,126,ŠTYBAR Zdeněk,32,Quick-Step Floors,,,",,0:58",49.426,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
63,64,31.0,+10:47,27,VILLELLA Davide,26,Astana Pro Team,,,0:590:59,49.358999999999995,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
64,65,105.0,+49:59,57,VAUGRENARD Benoît,36,Groupama - FDJ,,,",,0:59",49.358999999999995,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
65,66,11.0,+1:59,31,NIBALI Vincenzo,33,Bahrain Merida Pro Cycling Team,,,",,0:59",49.358999999999995,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
66,67,111.0,+53:25,202,CONSONNI Simone,23,UAE-Team Emirates,,,1:001:00,49.292,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
67,68,92.0,+44:33,97,MEZGEC Luka,29,Mitchelton-Scott,,,",,1:00",49.292,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
68,69,43.0,+19:31,1,SAGAN Peter,28,BORA - hansgrohe,,,",,1:00",49.292,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
69,70,12.0,+2:02,201,ARU Fabio,27,UAE-Team Emirates,,,1:031:03,49.091,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
70,71,110.0,+52:44,114,GROSU Eduard-Michael,25,Nippo - Vini Fantini - Europa Ovini,,,",,1:03",49.091,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
71,72,52.0,+22:48,7,OSS Daniel,31,BORA - hansgrohe,,,1:041:04,49.023999999999994,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
72,73,88.0,+40:45,104,BENNATI Daniele,37,Movistar Team,,,",,1:04",49.023999999999994,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
73,74,129.0,+1:02:09,66,NYCH Artem,22,Gazprom-RusVelo,,,",,1:04",49.023999999999994,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
74,75,16.0,+3:27,21,LÓPEZ Miguel Ángel,24,Astana Pro Team,,,1:051:05,48.958,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
75,76,127.0,+1:01:20,167,WYNANTS Maarten,35,Team LottoNL-Jumbo,,,",,1:05",48.958,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
76,77,83.0,+37:53,17,VENTURINI Clément,24,AG2R La Mondiale,,,1:071:07,48.826,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
77,78,60.0,+28:10,47,SCHÄR Michael,31,BMC Racing Team,,,",,1:07",48.826,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
78,79,91.0,+44:24,53,HOELGAARD Daniel,24,Groupama - FDJ,,,1:081:08,48.76,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
79,80,72.0,+32:50,3,BURGHARDT Marcus,34,BORA - hansgrohe,,,",,1:08",48.76,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
80,81,10.0,+1:22,141,URÁN Rigoberto,31,Team EF Education First-Drapac p/b Cannondale,,,",,1:08",48.76,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
81,82,13.0,+2:31,11,BARDET Romain,27,AG2R La Mondiale,,,",,1:08",48.76,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
82,83,64.0,+28:40,84,KEUKELEIRE Jens,29,Lotto Soudal,,,1:091:09,48.693999999999996,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
83,84,26.0,+8:44,61,FIRSANOV Sergey,35,Gazprom-RusVelo,,,",,1:09",48.693999999999996,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
84,85,38.0,+16:23,137,VERMOTE Julien,28,Team Dimension Data,,,1:101:10,48.629,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
85,86,62.0,+28:20,26,GRIVKO Andrey,34,Astana Pro Team,,,",,1:10",48.629,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
86,87,125.0,+1:00:36,56,SARREAU Marc,24,Groupama - FDJ,,,",,1:10",48.629,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
87,88,6.0,+1:13,101,LANDA Mikel,28,Movistar Team,,,",,1:10",48.629,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
88,89,67.0,+29:30,67,VLASOV Aleksandr,21,Gazprom-RusVelo,,,1:111:11,48.56399999999999,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
89,90,14.0,+2:34,36,POZZOVIVO Domenico,35,Bahrain Merida Pro Cycling Team,,,1:121:12,48.498999999999995,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
90,91,24.0,+8:29,217,ZARDINI Edoardo,28,Wilier Triestina - Selle Italia,,,",,1:12",48.498999999999995,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
91,92,44.0,+19:46,196,STUYVEN Jasper,25,Trek - Segafredo,,,1:131:13,48.434,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
92,93,121.0,+57:39,157,ZABEL Rick,24,Team Katusha Alpecin,,,1:141:14,48.369,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
93,94,76.0,+35:41,205,MARCATO Marco,34,UAE-Team Emirates,,,",,1:14",48.369,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
94,95,87.0,+40:09,203,RIABUSHENKO Alexandr,22,UAE-Team Emirates,,,1:151:15,48.303999999999995,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
95,96,37.0,+15:39,6,MAJKA Rafał,28,BORA - hansgrohe,,,",,1:15",48.303999999999995,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
96,97,96.0,+45:42,143,MODOLO Sacha,30,Team EF Education First-Drapac p/b Cannondale,,,1:161:16,48.24,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
97,98,93.0,+45:20,75,NEILANDS Krists,23,Israel Cycling Academy,,,",,1:16",48.24,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
98,99,101.0,+47:17,211,POZZATO Filippo,36,Wilier Triestina - Selle Italia,,,1:231:23,47.794,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
99,100,73.0,+33:27,63,CHERKASOV Nikolay,21,Gazprom-RusVelo,,,1:251:25,47.668,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
