,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Avg,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
20,21,21,+0:26,4,GILBERT Philippe,35,Quick-Step Floors,,,",,0:26",47.368,BinckBank_Tour,2,08 August 2017,49.24 km/h,0,9 km,21
21,22,22,+0:27,64,PEDERSEN Mads,21,Trek - Segafredo,,,0:270:27,47.299,BinckBank_Tour,2,08 August 2017,49.24 km/h,0,9 km,21
22,23,23,+0:27,146,SWIFT Ben,29,UAE Team Emirates,,,",,0:27",47.299,BinckBank_Tour,2,08 August 2017,49.24 km/h,0,9 km,21
23,24,24,+0:28,56,PÖSTLBERGER Lukas,25,BORA - hansgrohe,,,0:280:28,47.23,BinckBank_Tour,2,08 August 2017,49.24 km/h,0,9 km,21
24,25,25,+0:28,26,VAN HOOYDONCK Nathan,21,BMC Racing Team,,,",,0:28",47.23,BinckBank_Tour,2,08 August 2017,49.24 km/h,0,9 km,21
25,26,26,+0:28,76,WÜRTZ SCHMIDT Mads,23,Team Katusha Alpecin,,,",,0:28",47.23,BinckBank_Tour,2,08 August 2017,49.24 km/h,0,9 km,21
26,27,27,+0:28,21,VAN AVERMAET Greg,32,BMC Racing Team,,,",,0:28",47.23,BinckBank_Tour,2,08 August 2017,49.24 km/h,0,9 km,21
27,28,28,+0:29,22,DRUCKER Jempy,30,BMC Racing Team,,,0:290:29,47.162,BinckBank_Tour,2,08 August 2017,49.24 km/h,0,9 km,21
28,29,29,+0:31,28,VLIEGEN Loïc,23,BMC Racing Team,,,0:310:31,47.025,BinckBank_Tour,2,08 August 2017,49.24 km/h,0,9 km,21
29,30,30,+0:31,47,TEUNISSEN Mike,24,Team Sunweb,,,",,0:31",47.025,BinckBank_Tour,2,08 August 2017,49.24 km/h,0,9 km,21
30,31,31,+0:32,2,DEVENYNS Dries,34,Quick-Step Floors,,,0:320:32,46.957,BinckBank_Tour,2,08 August 2017,49.24 km/h,0,9 km,21
31,32,32,+0:32,101,KEUKELEIRE Jens,28,ORICA-Scott,,,",,0:32",46.957,BinckBank_Tour,2,08 August 2017,49.24 km/h,0,9 km,21
32,33,33,+0:32,165,ERVITI Imanol,33,Movistar Team,,,",,0:32",46.957,BinckBank_Tour,2,08 August 2017,49.24 km/h,0,9 km,21
33,34,34,+0:33,194,TUSVELD Martijn,23,Roompot - Nederlandse Loterij,,,0:330:33,46.888999999999996,BinckBank_Tour,2,08 August 2017,49.24 km/h,0,9 km,21
34,35,35,+0:33,61,STUYVEN Jasper,25,Trek - Segafredo,,,",,0:33",46.888999999999996,BinckBank_Tour,2,08 August 2017,49.24 km/h,0,9 km,21
35,36,36,+0:33,67,THEUNS Edward,26,Trek - Segafredo,,,",,0:33",46.888999999999996,BinckBank_Tour,2,08 August 2017,49.24 km/h,0,9 km,21
36,37,37,+0:33,91,VANMARCKE Sep,29,Cannondale-Drapac Pro Cycling Team,,,",,0:33",46.888999999999996,BinckBank_Tour,2,08 August 2017,49.24 km/h,0,9 km,21
37,38,38,+0:33,73,MATHIS Marco,23,Team Katusha Alpecin,,,",,0:33",46.888999999999996,BinckBank_Tour,2,08 August 2017,49.24 km/h,0,9 km,21
38,39,39,+0:34,55,PFINGSTEN Christoph,29,BORA - hansgrohe,,,0:340:34,46.821000000000005,BinckBank_Tour,2,08 August 2017,49.24 km/h,0,9 km,21
39,40,40,+0:35,83,DOULL Owain,24,Team Sky,,,0:350:35,46.753,BinckBank_Tour,2,08 August 2017,49.24 km/h,0,9 km,21
40,41,41,+0:35,17,SIEBERG Marcel,35,Lotto Soudal,,,",,0:35",46.753,BinckBank_Tour,2,08 August 2017,49.24 km/h,0,9 km,21
41,42,42,+0:35,104,HEPBURN Michael,25,ORICA-Scott,,,",,0:35",46.753,BinckBank_Tour,2,08 August 2017,49.24 km/h,0,9 km,21
42,43,43,+0:35,68,VAN POPPEL Boy,29,Trek - Segafredo,,,",,0:35",46.753,BinckBank_Tour,2,08 August 2017,49.24 km/h,0,9 km,21
43,44,44,+0:36,93,LANGEVELD Sebastian,32,Cannondale-Drapac Pro Cycling Team,,,0:360:36,46.68600000000001,BinckBank_Tour,2,08 August 2017,49.24 km/h,0,9 km,21
44,45,45,+0:36,170,IZAGIRRE Gorka,29,Movistar Team,,,",,0:36",46.68600000000001,BinckBank_Tour,2,08 August 2017,49.24 km/h,0,9 km,21
45,46,46,+0:37,3,KITTEL Marcel,29,Quick-Step Floors,,,0:370:37,46.619,BinckBank_Tour,2,08 August 2017,49.24 km/h,0,9 km,21
