,Rnk,Prev,▼▲,BIB,Rider,Age,Team,UCI,Time,Time won/lost,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
61,62,62,-,105,PIRES Bruno,29,Leopard Trek,,",,0:51",..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
62,63,63,-,169,VANDEWALLE Kristof,26,Quickstep Cycling Team,,",,0:51",..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
63,64,64,-,85,MORENO Daniel,29,Team Katusha,,0:520:52,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
64,65,65,-,19,MONTAGUTI Matteo,27,AG2R La Mondiale,,0:580:58,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
65,66,66,-,16,GADRET John,32,AG2R La Mondiale,,",,0:58",..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
66,67,67,-,15,DUPONT Hubert,30,AG2R La Mondiale,,",,0:58",..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
67,68,68,-,14,DESSEL Cyril,36,AG2R La Mondiale,,",,0:58",..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
68,69,69,-,144,KIŠERLOVSKI Robert,24,Pro Team Astana,,0:590:59,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
69,70,70,-,141,KREUZIGER Roman,25,Pro Team Astana,,",,0:59",..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
70,71,71,-,142,TIRALONGO Paolo,33,Pro Team Astana,,",,0:59",..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
71,72,72,-,143,MASCIARELLI Francesco,25,Pro Team Astana,,",,0:59",..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
72,73,73,-,148,PETROV Evgeni,32,Pro Team Astana,,",,0:59",..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
73,74,74,-,147,DYACHENKO Alexandr,27,Pro Team Astana,,",,0:59",..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
74,75,75,-,61,MENCHOV Denis,33,Geox-TMC Transformers,,1:021:02,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
75,76,76,-,63,WYSS Marcel,24,Geox-TMC Transformers,,",,1:02",..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
76,77,77,-,69,VALLS Rafael,23,Geox-TMC Transformers,,",,1:02",..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
77,78,78,-,64,BLANCO David,36,Geox-TMC Transformers,,",,1:02",..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
78,79,79,-,67,DUARTE Fabio,24,Geox-TMC Transformers,,",,1:02",..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
79,80,80,-,42,BELLETTI Manuel,25,Colnago - CSF Inox,,1:031:03,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
80,81,81,-,43,MODOLO Sacha,23,Colnago - CSF Inox,,1:111:11,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
