,Rnk,Prev,▼▲,BIB,Rider,Age,Team,UCI,Pnt,Time,Time won/lost,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
88,89,94,▲5,44,IMPEY Daryl,29,Orica GreenEDGE,,5,1:28:591:28:59,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
89,90,97,▲7,41,GERRANS Simon,34,Orica GreenEDGE,,5,1:31:411:31:41,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
90,91,96,▲5,172,ARNDT Nikias,22,Team Giant - Shimano,,5,1:32:071:32:07,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
91,92,98,▲6,198,VAN DER LIJKE Nick,22,Belkin-Pro Cycling Team,,5,1:33:121:33:12,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
92,93,99,▲6,43,HOWSON Damien,21,Orica GreenEDGE,,5,1:33:171:33:17,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
93,94,101,▲7,92,BRÄNDLE Matthias,24,IAM Cycling,,5,1:34:271:34:27,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
94,95,102,▲7,103,BODNAR Maciej,29,Cannondale,,5,1:34:521:34:52,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
95,96,104,▲8,106,MARCATO Marco,30,Cannondale,,5,1:35:031:35:03,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
96,97,103,▲6,77,REZA Kévin,26,Team Europcar,,5,1:35:221:35:22,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
97,98,105,▲7,174,FRÖHLINGER Johannes,29,Team Giant - Shimano,,5,1:35:591:35:59,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
98,99,106,▲7,203,BENEDETTI Cesare,26,Team NetApp – Endura,,5,1:37:501:37:50,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
