,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Time won/lost,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
70,71,0,VAN DE WALLE Jurgen,34,Omega Pharma-Lotto,,5.0,44:0444:04,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
71,72,0,GARATE Juan Manuel,35,Rabobank Cycling Team,,5.0,44:2644:26,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
72,73,0,VEUCHELEN Frederik,32,Vacansoleil - DCM,,5.0,44:4344:43,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
73,74,0,VANDBORG Brian Bach,29,Saxo Bank - Sungard,,5.0,46:2646:26,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
74,75,0,FOFONOV Dmitriy,34,Pro Team Astana,,5.0,48:2748:27,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
75,76,0,SANTAROMITA Ivan,27,BMC Racing Team,,5.0,49:0249:02,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
76,77,0,VANENDERT Jelle,26,Omega Pharma-Lotto,,5.0,49:0449:04,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
77,78,0,MOINARD Amaël,29,BMC Racing Team,,5.0,49:4349:43,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
78,79,0,ZABRISKIE David,32,Team Garmin - Cervélo,,5.0,50:1750:17,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
79,80,0,MARTENS Paul,27,Rabobank Cycling Team,,5.0,51:0451:04,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
80,81,0,SMUKULIS Gatis,24,HTC - High Road,,5.0,53:0353:03,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
81,82,0,IGLINSKIY Maxim,30,Pro Team Astana,,5.0,53:4853:48,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
82,83,0,PÉREZ Francisco,32,Movistar Team,,5.0,53:5853:58,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
83,84,0,NIEMIEC Przemysław,31,Lampre - ISD,,5.0,54:3254:32,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
