,Rnk,BIB,Rider,Age,Team,UCI,Time,Time won/lost,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
163,164,6,MIHOLJEVIĆ Vladimir,37,Acqua & Sapone,,",,1:07",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
164,165,193,CARLSTRÖM Kjell,34,Sky Procycling,,",,1:07",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
165,166,150,VISCONTI Giovanni,28,Farnese Vini-Neri-Sottoli,,",,1:07",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
166,167,156,FAVILLI Elia,22,Farnese Vini-Neri-Sottoli,,",,1:07",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
167,168,154,RABOTTINI Matteo,23,Farnese Vini-Neri-Sottoli,,",,1:07",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
168,169,151,FAILLI Francesco,27,Farnese Vini-Neri-Sottoli,,",,1:07",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
169,170,155,MAZZANTI Luca,37,Farnese Vini-Neri-Sottoli,,",,1:07",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
170,171,153,GATTO Oscar,26,Farnese Vini-Neri-Sottoli,,",,1:07",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
171,172,158,RICCI BITTI Davide,27,Farnese Vini-Neri-Sottoli,,",,1:07",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
172,173,157,NOÈ Andrea,42,Farnese Vini-Neri-Sottoli,,",,1:07",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
173,174,66,KOZONTCHUK Dmitry,27,Geox-TMC Transformers,,1:091:09,..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
174,175,57,AZANZA Jorge,28,Euskaltel - Euskadi,,1:131:13,..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
175,176,52,SESMA Daniel,26,Euskaltel - Euskadi,,",,1:13",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
176,177,59,NIEVE Mikel,26,Euskaltel - Euskadi,,",,1:13",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
177,178,51,ANTÓN Igor,28,Euskaltel - Euskadi,,",,1:13",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
178,179,58,OROZ Juan José,30,Euskaltel - Euskadi,,",,1:13",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
179,180,54,ISASI Iñaki,34,Euskaltel - Euskadi,,",,1:13",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
180,181,53,MÍNGUEZ Miguel,22,Euskaltel - Euskadi,,1:151:15,..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
181,182,65,CHEULA Giampaolo,31,Geox-TMC Transformers,,1:161:16,..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
182,183,149,ŠTANGELJ Gorazd,38,Pro Team Astana,,1:271:27,..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
183,184,195,DOWNING Russell,32,Sky Procycling,,",,1:27",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
184,185,114,MARANGONI Alan,26,Liquigas - Cannondale,,1:331:33,..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
185,186,132,BLYTHE Adam,21,Omega Pharma-Lotto,,1:471:47,..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
186,187,77,RASMUSSEN Alex,26,HTC - High Road,,1:541:54,..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
187,188,208,STETINA Peter,23,Team Garmin - Cervélo,,1:561:56,..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
188,189,202,LANCASTER Brett,31,Team Garmin - Cervélo,,0:000:00,..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
189,190,152,GIORDANI Leonardo,33,Farnese Vini-Neri-Sottoli,,2:022:02,..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
