,Rnk,Prev,▼▲,BIB,Rider,Age,Team,UCI,Time,Time won/lost,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
118,119,137,▲18,62,SASTRE Carlos,36,Geox-TMC Transformers,,",,1:05",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
119,120,136,▲16,64,BLANCO David,36,Geox-TMC Transformers,,",,1:05",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
120,121,135,▲14,69,VALLS Rafael,23,Geox-TMC Transformers,,",,1:05",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
121,122,139,▲17,67,DUARTE Fabio,24,Geox-TMC Transformers,,",,1:05",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
122,123,148,▲25,42,BELLETTI Manuel,25,Colnago - CSF Inox,,1:061:06,..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
123,124,146,▲22,43,MODOLO Sacha,23,Colnago - CSF Inox,,1:141:14,..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
124,125,145,▲20,44,PIRAZZI Stefano,24,Colnago - CSF Inox,,",,1:14",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
125,126,144,▲18,46,CANUTI Federico,25,Colnago - CSF Inox,,",,1:14",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
126,127,142,▲15,41,POZZOVIVO Domenico,28,Colnago - CSF Inox,,",,1:14",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
127,128,150,▲22,98,RIGHI Daniele,35,Lampre - ISD,,",,1:14",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
128,129,143,▲14,48,BRAMBILLA Gianluca,23,Colnago - CSF Inox,,",,1:14",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
129,130,27,▼103,136,KAISEN Olivier,28,Omega Pharma-Lotto,,1:151:15,..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
130,131,152,▲21,81,RODRÍGUEZ Joaquim,31,Team Katusha,,1:161:16,..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
131,132,153,▲21,85,MORENO Daniel,29,Team Katusha,,",,1:16",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
132,133,157,▲24,84,CARUSO Giampaolo,30,Team Katusha,,",,1:16",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
133,134,155,▲21,83,BRUTT Pavel,29,Team Katusha,,",,1:16",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
134,135,156,▲21,82,DI LUCA Danilo,35,Team Katusha,,",,1:16",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
135,136,44,▼92,172,FLENS Rick,28,Rabobank Cycling Team,,",,1:16",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
136,137,80,▼57,24,DE MARCHI Alessandro,24,Androni Giocattoli - Serramenti PVC Diquigiovanni,,1:171:17,..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
137,138,38,▼100,96,NIEMIEC Przemysław,31,Lampre - ISD,,",,1:17",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
138,139,161,▲22,9,TABORRE Fabio,25,Acqua & Sapone,,1:191:19,..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
139,140,171,▲31,153,GATTO Oscar,26,Farnese Vini-Neri-Sottoli,,",,1:19",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
140,141,159,▲18,1,GARZELLI Stefano,37,Acqua & Sapone,,",,1:19",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
141,142,160,▲18,5,MARZOLI Ruggero,35,Acqua & Sapone,,",,1:19",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
142,143,164,▲21,6,MIHOLJEVIĆ Vladimir,37,Acqua & Sapone,,",,1:19",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
143,144,173,▲29,157,NOÈ Andrea,42,Farnese Vini-Neri-Sottoli,,",,1:19",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
144,145,165,▲20,193,CARLSTRÖM Kjell,34,Sky Procycling,,",,1:19",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
145,146,158,▲12,4,BETANCUR Carlos,21,Acqua & Sapone,,",,1:19",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
146,147,162,▲15,2,CODOL Massimo,38,Acqua & Sapone,,",,1:19",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
147,148,163,▲15,7,NAPOLITANO Danilo,30,Acqua & Sapone,,",,1:19",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
148,149,169,▲20,151,FAILLI Francesco,27,Farnese Vini-Neri-Sottoli,,",,1:19",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
149,150,40,▼110,175,SLAGTER Tom-Jelte,21,Rabobank Cycling Team,,",,1:19",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
150,151,174,▲23,66,KOZONTCHUK Dmitry,27,Geox-TMC Transformers,,1:211:21,..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
151,152,114,▼38,163,CIOLEK Gerald,24,Quickstep Cycling Team,,1:241:24,..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
152,153,175,▲22,57,AZANZA Jorge,28,Euskaltel - Euskadi,,1:251:25,..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
153,154,178,▲24,51,ANTÓN Igor,28,Euskaltel - Euskadi,,",,1:25",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
154,155,180,▲25,54,ISASI Iñaki,34,Euskaltel - Euskadi,,",,1:25",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
155,156,179,▲23,58,OROZ Juan José,30,Euskaltel - Euskadi,,",,1:25",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
156,157,177,▲20,59,NIEVE Mikel,26,Euskaltel - Euskadi,,",,1:25",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
157,158,176,▲18,52,SESMA Daniel,26,Euskaltel - Euskadi,,",,1:25",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
158,159,182,▲23,65,CHEULA Giampaolo,31,Geox-TMC Transformers,,1:281:28,..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
159,160,184,▲24,195,DOWNING Russell,32,Sky Procycling,,1:391:39,..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
160,161,183,▲22,149,ŠTANGELJ Gorazd,38,Pro Team Astana,,",,1:39",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
161,162,185,▲23,114,MARANGONI Alan,26,Liquigas - Cannondale,,1:451:45,..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
162,163,149,▼14,97,SPEZIALETTI Alessandro,36,Lampre - ISD,,1:551:55,..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
163,164,147,▼17,49,FRAPPORTI Marco,26,Colnago - CSF Inox,,",,1:55",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
164,165,186,▲21,132,BLYTHE Adam,21,Omega Pharma-Lotto,,1:591:59,..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
165,166,170,▲4,155,MAZZANTI Luca,37,Farnese Vini-Neri-Sottoli,,2:002:00,..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
166,167,166,▼1,150,VISCONTI Giovanni,28,Farnese Vini-Neri-Sottoli,,",,2:00",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
167,168,23,▼145,133,DE GREEF Francis,26,Omega Pharma-Lotto,,2:042:04,..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
168,169,187,▲18,77,RASMUSSEN Alex,26,HTC - High Road,,2:062:06,..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
169,170,189,▲19,202,LANCASTER Brett,31,Team Garmin - Cervélo,,2:082:08,..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
170,171,181,▲10,53,MÍNGUEZ Miguel,22,Euskaltel - Euskadi,,",,2:08",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
171,172,95,▼77,225,HOOGERLAND Johnny,27,Vacansoleil - DCM,,2:132:13,..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
172,173,16,▼157,118,SZMYD Sylwester,33,Liquigas - Cannondale,,2:162:16,..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
173,174,191,▲17,199,POSSONI Morris,26,Sky Procycling,,2:172:17,..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
174,175,33,▼142,206,MEYER Cameron,23,Team Garmin - Cervélo,,2:182:18,..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
175,176,55,▼121,187,NAVARRO Daniel,27,Saxo Bank - Sungard,,2:242:24,..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
176,177,57,▼120,184,HERNÁNDEZ BLÁZQUEZ Jesús,29,Saxo Bank - Sungard,,2:262:26,..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
177,178,22,▼156,137,LANG Sebastian,31,Omega Pharma-Lotto,,2:292:29,..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
178,179,107,▼72,164,REDA Francesco,28,Quickstep Cycling Team,,2:362:36,..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
