,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Time won/lost,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
59,60,62,KEUKELEIRE Jens,29,Lotto Soudal,3.0,5.0,23:3623:36,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
60,61,53,GASPAROTTO Enrico,36,Bahrain Merida Pro Cycling Team,,5.0,24:3024:30,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
61,62,157,LUDVIGSSON Tobias,27,Groupama - FDJ,,5.0,24:5024:50,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
62,63,123,CLEMENT Stef,35,Team LottoNL-Jumbo,,5.0,25:0625:06,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
63,64,67,MERTZ Rémy,22,Lotto Soudal,,5.0,25:4625:46,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
64,65,175,GONÇALVES José,29,Team Katusha Alpecin,,5.0,26:1326:13,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
65,66,183,DOUBEY Fabien,24,Wanty - Groupe Gobert,,5.0,27:1727:17,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
66,67,105,CONCI Nicola,21,Trek - Segafredo,,5.0,27:3927:39,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
67,68,4,FRANKINY Kilian,24,BMC Racing Team,,5.0,27:4427:44,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
68,69,74,GRIVKO Andrey,34,Astana Pro Team,,5.0,27:4827:48,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
69,70,52,COLBRELLI Sonny,27,Bahrain Merida Pro Cycling Team,,5.0,29:4129:41,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
70,71,63,SHAW James,21,Lotto Soudal,,5.0,31:0931:09,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
71,72,113,CANTY Brendan,26,Team EF Education First-Drapac p/b Cannondale,,5.0,31:5631:56,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
72,73,155,DUCHESNE Antoine,26,Groupama - FDJ,,5.0,32:2332:23,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
73,74,153,VINCENT Léo,22,Groupama - FDJ,,5.0,33:1333:13,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
74,75,83,DILLIER Silvan,27,AG2R La Mondiale,,5.0,35:5535:55,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
75,76,132,GESCHKE Simon,32,Team Sunweb,,5.0,37:3937:39,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
76,77,135,STORER Michael,21,Team Sunweb,,5.0,38:1938:19,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
77,78,86,GOUGEARD Alexis,25,AG2R La Mondiale,,5.0,38:4438:44,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
78,79,16,MØRKØV Michael,32,Quick-Step Floors,,5.0,40:0840:08,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
79,80,152,THOMAS Benjamin,22,Groupama - FDJ,,5.0,40:4640:46,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
80,81,97,ROWE Luke,28,Team Sky,,5.0,41:0241:02,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
81,82,173,DOWSETT Alex,29,Team Katusha Alpecin,,5.0,41:0741:07,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
82,83,114,CLARKE Will,33,Team EF Education First-Drapac p/b Cannondale,,5.0,41:3541:35,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
83,84,21,ALBASINI Michael,37,Mitchelton-Scott,,5.0,43:0443:04,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
84,85,167,VENTER Jaco,31,Team Dimension Data,,5.0,44:1944:19,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
85,86,172,BELKOV Maxim,33,Team Katusha Alpecin,,5.0,45:2945:29,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
86,87,34,KENNAUGH Peter,28,BORA - hansgrohe,,5.0,45:4845:48,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
87,88,125,TANKINK Bram,39,Team LottoNL-Jumbo,,5.0,46:2346:23,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
88,89,143,BONO Matteo,34,UAE-Team Emirates,,5.0,47:4547:45,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
89,90,177,PLANCKAERT Baptiste,29,Team Katusha Alpecin,,5.0,49:0649:06,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
90,91,82,DENZ Nico,24,AG2R La Mondiale,,5.0,49:5749:57,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
91,92,55,KOREN Kristijan,31,Bahrain Merida Pro Cycling Team,,5.0,54:2654:26,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
92,93,184,DUPONT Timothy,30,Wanty - Groupe Gobert,,5.0,55:0755:07,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
93,94,5,BOHLI Tom,24,BMC Racing Team,,5.0,55:5155:51,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
94,95,185,EIKING Odd Christian,23,Wanty - Groupe Gobert,,5.0,57:2457:24,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
95,96,162,DLAMINI Nic,22,Team Dimension Data,,5.0,59:3459:34,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
96,97,85,DUMOULIN Samuel,37,AG2R La Mondiale,,5.0,",,59:34",..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
97,98,147,FERRARI Roberto,35,UAE-Team Emirates,,5.0,1:01:451:01:45,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
98,99,37,SELIG Rüdiger,29,BORA - hansgrohe,,5.0,1:07:151:07:15,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
99,100,32,ACKERMANN Pascal,24,BORA - hansgrohe,,5.0,1:07:271:07:27,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
100,101,36,SCHILLINGER Andreas,34,BORA - hansgrohe,,5.0,1:07:281:07:28,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
101,102,166,VAN ZYL Johann,27,Team Dimension Data,,5.0,1:07:501:07:50,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
102,103,106,DANIEL Gregory,23,Trek - Segafredo,,5.0,1:08:401:08:40,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
