,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Time won/lost,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
79,80,125,KRAGH ANDERSEN Søren,26,Team Sunweb,,5,1:41:311:41:31,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
80,81,4,KUDUS Merhawi,26,Astana Pro Team,,5,1:41:511:41:51,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
81,82,17,VAN GARDEREN Tejay,32,EF Pro Cycling,,5,1:41:531:41:53,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
82,83,95,ROJAS José Joaquín,35,Movistar Team,,5,1:42:521:42:52,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
83,84,214,DOUBEY Fabien,26,Circus - Wanty Gobert,,5,1:42:541:42:54,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
84,85,74,GALLOPIN Tony,32,AG2R La Mondiale,,5,",,1:42:54",..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
85,86,164,MATÉ Luis Ángel,36,"Cofidis, Solutions Crédits",,5,1:43:131:43:13,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
86,87,224,GAUTIER Cyril,32,B&B Hotels - Vital Concept p/b KTM,,5,1:44:171:44:17,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
87,88,15,KEUKELEIRE Jens,31,EF Pro Cycling,,5,1:45:311:45:31,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
88,89,105,IMPEY Daryl,35,Mitchelton-Scott,,5,1:47:221:47:22,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
89,90,206,SCHÄR Michael,33,CCC Team,,5,1:47:311:47:31,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
90,91,156,TEUNS Dylan,28,Bahrain - McLaren,,5,",,1:47:31",..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
91,92,146,O'CONNOR Ben,24,NTT Pro Cycling,,5,1:48:031:48:03,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
92,93,173,HOFSTETTER Hugo,26,Israel Start-Up Nation,,5,1:48:401:48:40,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
93,94,117,WEENING Pieter,39,Trek - Segafredo,,5,1:50:011:50:01,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
94,95,106,JUUL-JENSEN Christopher,31,Mitchelton-Scott,,5,1:50:491:50:49,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
95,96,122,ARNDT Nikias,28,Team Sunweb,,5,1:54:031:54:03,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
96,97,175,NIV Guy,26,Israel Start-Up Nation,,5,1:54:291:54:29,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
97,98,127,SÜTTERLIN Jasha,27,Team Sunweb,,5,1:54:401:54:40,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
98,99,52,ASGREEN Kasper,25,Deceuninck - Quick Step,,5,1:56:351:56:35,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
99,100,53,CAVAGNA Rémi,25,Deceuninck - Quick Step,,5,1:59:191:59:19,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
100,101,154,COLBRELLI Sonny,30,Bahrain - McLaren,,5,2:00:052:00:05,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
101,102,45,LADAGNOUS Matthieu,35,Groupama - FDJ,,5,2:03:052:03:05,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
102,103,7,STALNOV Nikita,28,Astana Pro Team,,5,2:07:482:07:48,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
103,104,54,DECLERCQ Tim,31,Deceuninck - Quick Step,,5,2:08:152:08:15,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
104,105,223,COURTEILLE Arnaud,31,B&B Hotels - Vital Concept p/b KTM,,5,2:13:492:13:49,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
105,106,227,SLAGTER Tom-Jelte,31,B&B Hotels - Vital Concept p/b KTM,,5,2:14:282:14:28,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
